source_run,setting,readout_type,condition,seed,intervention,original_worst,intervention_worst,worst_drop,original_exact,intervention_exact,exact_drop
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,42,late_window_probe,0.7300000190734863,0.5199999809265137,0.21000003814697266,0.41200000047683716,0.13199999928474426,0.2800000011920929
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,42,shuffle_learned_delays,0.7300000190734863,0.5540000200271606,0.17599999904632568,0.41200000047683716,0.1979999989271164,0.21400000154972076
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,0,late_window_probe,0.6340000033378601,0.4740000069141388,0.1599999964237213,0.26600000262260437,0.04600000008940697,0.2200000025331974
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,0,shuffle_learned_delays,0.6340000033378601,0.4959999918937683,0.1380000114440918,0.26600000262260437,0.07000000029802322,0.19600000232458115
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,1,late_window_probe,0.6480000019073486,0.4320000112056732,0.21599999070167542,0.18400000035762787,0.04600000008940697,0.1380000002682209
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,1,shuffle_learned_delays,0.6480000019073486,0.5460000038146973,0.10199999809265137,0.18400000035762787,0.1080000028014183,0.07599999755620956
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,2,late_window_probe,0.6200000047683716,0.49000000953674316,0.12999999523162842,0.1979999989271164,0.04600000008940697,0.15199999883770943
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,2,shuffle_learned_delays,0.6200000047683716,0.5619999766349792,0.058000028133392334,0.1979999989271164,0.18799999356269836,0.01000000536441803
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,3,late_window_probe,0.6520000100135803,0.44600000977516174,0.20600000023841858,0.24799999594688416,0.0560000017285347,0.19199999421834946
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,linear,w_and_d,3,shuffle_learned_delays,0.6520000100135803,0.5759999752044678,0.07600003480911255,0.24799999594688416,0.16200000047683716,0.085999995470047
