run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,best_val_acc,best_val_epoch,final_train_acc,final_val_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_XNOR_weights_only_sigmoid_h50_seed42,XNOR,weights_only,50,42,sigmoid,1.0,0.0,0.5920000076293945,0.5958714932203293,159,0.594482421875,0.5650929361581802,15.812000274658203,0.06324310540284356,0.0004,0.18613998591899872
step1_XOR_delays_only_sigmoid_h10_seed42,XOR,delays_only,10,42,sigmoid,1.0,,0.5339999794960022,0.5459321141242981,13,0.5294921882450581,0.519059807062149,0.2619999945163727,3.816793973014793,0.002,0.02590000070631504
step1_XOR_delays_only_sigmoid_h20_seed42,XOR,delays_only,20,42,sigmoid,1.0,,0.6240000128746033,0.6431505978107452,182,0.5899902358651161,0.610823005437851,1.6100000143051147,0.6211180069036246,0.001,0.06395000219345093
step1_XOR_delays_only_sigmoid_h50_seed42,XOR,delays_only,50,42,sigmoid,1.0,,0.6019999980926514,0.639176994562149,41,0.5989746116101742,0.608869880437851,2.5820000171661377,0.38729666667374596,0.0004,0.04027999937534332
step1_XOR_weights_and_delays_sigmoid_h10_seed42,XOR,weights_and_delays,10,42,sigmoid,1.0,,0.8600000143051147,0.8825094252824783,199,0.8661132827401161,0.8585668057203293,4.986000061035156,0.20056156994759192,0.002,0.24540001153945923
step1_XOR_weights_and_delays_sigmoid_h20_seed42,XOR,weights_and_delays,20,42,sigmoid,1.0,,0.902999997138977,0.9142645448446274,196,0.9033203125,0.899919182062149,7.790999889373779,0.12835322990620365,0.001,0.18930001556873322
step1_XOR_weights_and_delays_sigmoid_h50_seed42,XOR,weights_and_delays,50,42,sigmoid,1.0,,0.9319999814033508,0.9443696141242981,196,0.944091796875,0.9402949810028076,19.718000411987305,0.05071508160594534,0.0004,0.20179998874664307
step1_XOR_weights_only_sigmoid_h10_seed42,XOR,weights_only,10,42,sigmoid,1.0,0.0,0.5550000071525574,0.5593345910310745,180,0.5656250007450581,0.5359644442796707,4.256999969482422,0.23490721333540035,0.002,0.21810001134872437
step1_XOR_weights_only_sigmoid_h20_seed42,XOR,weights_only,20,42,sigmoid,1.0,0.0,0.546999990940094,0.5530037730932236,178,0.5611816421151161,0.5241446644067764,4.875999927520752,0.20508613922569507,0.001,0.13464999198913574
step1_XOR_weights_only_sigmoid_h50_seed42,XOR,weights_only,50,42,sigmoid,1.0,0.0,0.5950000286102295,0.5876549035310745,183,0.5923828147351742,0.5693022608757019,15.140000343322754,0.06605019665280479,0.0004,0.16741998493671417
