estimator_id,delay_gradient_mode,delay_gradient_sigma,intervention_rank,granularity,delay_tying,independent_delay_parameters,perturbation_delay_steps,seed,raw_gradient_mean,raw_gradient_min,raw_gradient_max,mean_gradient_target_directed,target_directed_coordinate_fraction,nonzero_coordinate_fraction,gradient_norm,exact_interface_patterns,forward_record_sha256,updates,test_split_opened
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,3.0,2521,-0.0006872511742130882,-0.002753645647317171,0.0017851352458819747,True,0.8125,1.0,0.00476339487988732,0,d80e98cf1cf5b1f2bdf4e1117e10e300dfb64e26f489fd9fe129e02699e5f718,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,3.0,2539,-0.000626895369578051,-0.0031005493365228176,0.0015987870283424854,True,0.6875,1.0,0.005682720756352333,0,7bb18c9a45b3c6bc703b0d1a011c210254254aa21a8ad0ec9808daa6ef0c9bac,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,3.0,2551,-0.0006272454702411778,-0.0022015010472387075,0.0015604669461026788,True,0.875,1.0,0.004155069942671545,0,871bf310077702dcd26e04cdbd9b32f10291a4a242a03d7297e4e048a58532af,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,3.0,2579,-0.0006758541974249965,-0.002271119737997651,0.00016018612950574607,True,0.875,1.0,0.0038689394001674053,0,05d0d66945271e9f67582173e3f931f80a75bd351d39d6db4202cc86224c388a,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,5.0,2503,7.35569994958496e-05,-0.00018336356151849031,0.0005257345619611442,True,0.4375,1.0,0.0008531923877832292,0,871319ce6dd04193d50f062af62e6d1b894175587b491a8de14199ef9d7a9f75,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,5.0,2521,1.2334212556197599e-05,-0.00013987788406666368,0.00023788293765392154,True,0.375,1.0,0.00043601151461686153,0,3ee47cf1edc1477fc68ec5f9b662859ea113a5befc3f7d4d6ccf691241dcc534,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,5.0,2539,-1.5326118585790027e-05,-0.00019666654407046735,0.0004955576150678098,False,0.4375,1.0,0.0006431458243190546,0,4e0d766bc4db33e2aaaa812e8630fdbfde7d1b7a3b81635fcadc7550d48f9f48,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,5.0,2551,6.531464691761357e-06,-0.0002890953910537064,0.0001991152239497751,True,0.5625,1.0,0.0005109215895094148,0,de2b17c8a956a9ce1746da7bc456c4f760b245508436af2bd652bf1d4d7ebe3e,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,5.0,2579,5.050174559073639e-05,-0.00017241887690033764,0.0004280211578588933,True,0.5625,1.0,0.0006474774715038355,0,8db5a2cf8b6dd11052cf1eb3fe50fffcc2192d74b4f04fe3f85c4e8c0cab4f99,0,False
gaussian_ste_s1p00,gaussian_ste,1.0,4,global,global,1,3.0,2503,-0.0143031170591712,-0.0143031170591712,-0.0143031170591712,True,1.0,1.0,0.0143031170591712,0,dc39ec1223655fa33bff11fb4597aee825f695181608c44cbeb438f0741bc9cf,0,False
