K,accuracy,arrival_auxiliary_weight,arrival_condition,balanced_accuracy,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,granularity,hidden_active_pattern_count,hidden_neurons,independent_delay_parameters,initial_delay_mean_steps,initial_raw,initial_task_arrival_gradient_conflict_fraction,initial_total_gradient_correct_coordinate_fraction,initial_total_gradient_nonzero_coordinate_fraction,initial_total_gradient_norm,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,operation,protocol_id,seed,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,weight_learning_rate
1,1.0,0.0,task_only,1.0,final_only,0.0,True,learned_delay,0.0,0.01,pair,single_event,False,0,True,0.0,3.93856143951416,3.1885876655578613,1.6270357370376587,0.06143862009048462,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.4375,0.5625,1.0,0.005175875499844551,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.0,True,learned_delay,0.0,0.01,pair,single_event,False,0,False,0.0,3.7914721965789795,3.1926751136779785,1.6848374605178833,0.2085278034210205,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.390625,0.609375,1.0,0.00348162860609591,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,1.0,True,learned_delay,0.0,0.01,pair,single_event,False,0,False,0.0,3.590911388397217,7.590911388397217,5.167372703552246,1.7344703674316406,,500,per_synapse,4,16,64,7.046375751495361,2.0,0.53125,0.46875,1.0,0.0009872490772977471,2,False,True,False,2.0,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,0.5,True,learned_delay,0.5,0.01,pair,single_event,False,0,False,0.03125,3.5504708290100098,7.55047082901001,5.908378601074219,1.6202077865600586,,500,per_synapse,4,16,64,7.046375751495361,2.0,0.46875,0.53125,1.0,0.0011417859932407737,2,False,True,False,1.5,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.0,True,learned_delay,0.5,0.01,pair,single_event,False,2,False,0.03125,3.562864303588867,7.562864303588867,5.850163459777832,2.2364776134490967,,500,per_synapse,4,16,64,7.046375751495361,2.0,0.46875,0.53125,1.0,0.0016524314414709806,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.25,True,learned_delay,0.5,0.01,pair,single_event,False,1,False,0.03125,3.727780342102051,7.727780342102051,5.467864036560059,2.051288366317749,,500,per_synapse,4,16,64,7.046375751495361,2.0,0.5625,0.4375,1.0,0.0012700804509222507,2,False,True,False,1.25,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.25,True,learned_delay,0.5,0.01,pair,single_event,False,2,True,0.046875,3.5299997329711914,7.529999732971191,6.058293342590332,1.1906119585037231,,500,per_synapse,4,16,64,7.046375751495361,2.0,0.5625,0.4375,1.0,0.0011355625465512276,2,False,True,False,1.25,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,pair,single_event,True,4,True,0.578125,1.2363877296447754,4.113466262817383,3.791471481323242,2.7636122703552246,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.46875,0.828125,1.0,0.004506928380578756,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,pair,single_event,True,4,True,0.5625,1.6405835151672363,4.023152828216553,3.8007774353027344,2.3594164848327637,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.578125,0.8125,1.0,0.007173512596637011,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,pair,single_event,True,4,True,0.453125,1.7932169437408447,4.219909191131592,3.7567219734191895,2.2067830562591553,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.546875,0.828125,1.0,0.004933320451527834,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
